Date,ABBV,MET,OXY,PERI,SPY,,,,
2020-09-10,74.62112427,32.63240433,9.749081612,6.050000191,312.7481079,,,,
2020-09-11,74.66274261,33.09992981,9.77778244,5.909999847,312.9073181,,,,
2020-09-14,75.3203125,33.62809372,9.739474297,5.96999979,317.028656,,,,
2020-09-15,75.66990662,32.47655106,10.25661469,6.139999866,318.6304016,,,,
2020-09-16,74.72930908,32.58044815,11.14724541,6.28000021,317.3659058,,,,
2020-09-17,74.60448456,34.04367447,11.35793114,6.320000172,314.574646,,,,
2020-09-18,75.00400543,34.34670258,11.15681934,6.300000191,310.9530029,,,,
2020-09-21,74.15499878,32.40729904,10.8120575,6.03000021,307.4923096,,,,
2020-09-22,73.74713135,31.99170113,10.61095047,6.090000153,310.6239014,,,,
2020-09-23,72.53187561,31.24711037,9.969317436,6.300000191,303.420166,,,,
2020-09-24,71.50810242,30.95272636,10.18957615,6.21999979,304.2289734,,,,
2020-09-25,71.77444458,31.39429092,9.787359238,6.440000057,309.1474609,,,,
2020-09-28,72.6484375,32.25144577,9.902277946,6.510000229,314.2821655,,,,
2020-09-29,72.32380676,31.8358593,9.567091942,6.320000172,312.5705261,,,,
2020-09-30,72.90646362,32.18218613,9.586248398,6.980000019,314.9405212,,,,
2020-10-01,72.53187561,32.26010513,9.270216942,7.010000229,316.9624023,,,,
2020-10-02,71.68289185,32.58044815,9.452172279,6.710000038,313.9530029,,,,
2020-10-05,73.18945313,33.35103226,10.06508255,6.820000172,319.5203552,,,,
2020-10-06,71.49145508,33.22114563,9.701167107,6.829999924,314.9780579,,,,
2020-10-07,72.47364044,34.06098175,9.844817162,7.639999866,320.4607849,,,,
2020-10-08,72.69837189,34.50254822,10.70671654,7.789999962,323.3009033,,,,
2020-10-09,72.99801636,34.18220139,10.36195946,7.860000134,326.1879578,,,,
2020-10-12,73.51409149,34.92679596,10.35238075,7.960000038,331.4355774,,,,
2020-10-13,73.1062088,33.76661682,10.07465839,7.880000114,329.2726135,,,,
2020-10-14,72.61686707,33.74064636,10.00762177,7.78000021,327.2037048,,,,
2020-10-15,71.90818787,33.87917328,10.16084862,7.570000172,326.7993164,,,,
2020-10-16,72.78562164,34.00904083,9.66286087,7.579999924,326.6018066,,,,
2020-10-19,71.13198853,33.82720947,9.404291153,7.559999943,321.6362915,,,,
2020-10-20,71.08137512,34.06098175,9.643707275,7.610000134,322.9246826,,,,
2020-10-21,69.93392181,33.87917328,9.251063347,7.809999943,322.3133545,,,,
2020-10-22,71.13198853,35.16057587,9.739474297,7.71999979,324.0813904,,,,
2020-10-23,71.15729523,35.44628906,9.595822334,7.840000153,325.1817017,,,,
2020-10-26,70.80293274,34.0956192,9.059531212,7.639999866,319.1723938,,,,
2020-10-27,69.78205109,32.7016716,8.87757206,7.650000095,318.0720825,,,,
2020-10-28,67.90905762,31.68866348,8.504084587,7.159999847,307.2006836,,,,
2020-10-29,68.06092072,32.30340195,8.74350071,7.159999847,310.322998,,,,
2020-10-30,71.79850769,32.77092743,8.74350071,6.940000057,307.0878601,,,,
2020-11-02,74.45614624,33.91910172,9.241486549,7.079999924,310.5298462,,,,
2020-11-03,74.21146393,35.0322113,9.279792786,7.260000229,316.0125427,,,,
2020-11-04,79.72925568,34.18203735,9.394716263,7.25,323.0750732,,,,
2020-11-05,79.04584503,36.04890442,10.0267725,7.46999979,329.3760681,,,,
2020-11-06,78.33712006,35.47919846,9.586248398,7.360000134,329.3008728,,,,
