Date / Ticker,AAPL.MX,LLY.MX,MSFT.MX
23/06/2021,2697.66,4418.28,5355.64
24/06/2021,2650.96,4617.88,5296.26
25/06/2021,2633.31,4554.50,5270.33
28/06/2021,2666.76,4554.50,5307.89
29/06/2021,2696.86,4529.55,5374.05
30/06/2021,2727.88,4573.75,5391.03
01/07/2021,2737.41,4635.37,5422.00
02/07/2021,2761.89,4635.37,5479.35
05/07/2021,2752.05,4635.37,5550.78
06/07/2021,2839.62,4690.73,5543.11
07/07/2021,2882.54,4690.73,5580.23
08/07/2021,2855.36,4714.15,5537.42
09/07/2021,2876.53,4662.07,5504.36
12/07/2021,2867.96,4685.75,5501.09
13/07/2021,2921.15,4715.69,5623.80
14/07/2021,2956.98,4715.69,5616.49
15/07/2021,2953.64,4715.69,5590.98
16/07/2021,2906.12,4590.93,5580.40
19/07/2021,2847.96,4651.81,5534.76
20/07/2021,2948.67,4723.05,5633.60
21/07/2021,2924.69,4723.05,5653.61
22/07/2021,2946.51,4787.54,5735.49
23/07/2021,2977.51,4787.54,5790.30
26/07/2021,2982.52,4787.54,5775.64
27/07/2021,2923.45,4787.54,5708.69
28/07/2021,2889.35,4924.66,5690.51
29/07/2021,2888.39,4924.66,5683.66
30/07/2021,2902.54,4924.66,5670.41
02/08/2021,2894.29,4871.53,5665.59
03/08/2021,2925.22,4871.53,5692.53
04/08/2021,2938.97,4871.53,5724.37
05/08/2021,2920.22,4871.53,5750.55
06/08/2021,2924.27,4871.53,5790.38
09/08/2021,2929.65,4871.53,5781.80
10/08/2021,2919.02,4871.53,5731.14
11/08/2021,2903.65,5272.20,5705.53
12/08/2021,2963.50,5273.04,5765.43
13/08/2021,2955.63,5273.04,5809.34
16/08/2021,2999.52,5273.04,5848.93
17/08/2021,2998.78,5390.22,5846.57
18/08/2021,2932.15,5438.14,5829.75
19/08/2021,2957.25,5440.13,5979.67
20/08/2021,3011.57,5440.13,6196.31
23/08/2021,3041.77,5450.11,6192.87
24/08/2021,3020.00,5450.11,6108.31
25/08/2021,3007.59,5450.11,6115.43
26/08/2021,3005.25,5347.57,6087.35
27/08/2021,2995.18,5347.57,6047.37
30/08/2021,3081.98,5347.57,6107.93
31/08/2021,3050.87,5347.57,6073.09
01/09/2021,3046.85,5347.57,6044.54
02/09/2021,3062.84,5347.57,6000.61
03/09/2021,3070.05,5347.57,5999.60
06/09/2021,3093.63,5347.57,5999.60
07/09/2021,3124.69,5347.57,5970.66
08/09/2021,3081.86,5075.79,5965.25
09/09/2021,3071.28,5075.79,5917.35
10/09/2021,2961.16,4772.34,5878.64
13/09/2021,2967.36,4704.47,5886.85
14/09/2021,2947.79,4704.47,5955.19
15/09/2021,2960.47,4721.44,6047.41
17/09/2021,2919.69,4672.52,5994.65
20/09/2021,2867.82,4672.52,5898.37
21/09/2021,2892.73,4636.83,5927.72
22/09/2021,2927.80,4572.71,5981.87
23/09/2021,2938.50,4656.55,5997.61
24/09/2021,2949.76,4656.55,5995.94
27/09/2021,2921.09,4559.23,5911.01
28/09/2021,2892.26,4559.23,5782.13
29/09/2021,2933.12,4724.98,5827.76
30/09/2021,2932.13,4783.42,5818.16
01/10/2021,2903.83,4689.04,5917.74
04/10/2021,2840.88,4689.04,5774.95
05/10/2021,2905.93,4752.38,5935.63
